tick,actorId,blueprint,intent,distanceToEgo,originalTargetVx,originalTargetVy,appliedTargetVx,appliedTargetVy,actualVx,actualVy,clampActive,newCollisionEvent,recoveryState
320,114,vehicle.bh.crossbike,roadside_edge,82.4381426188918,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0360155589878559,-2.96972990036011,0,0,normal
320,115,vehicle.audi.tt,turn_right,24.2263929705446,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.00323570054024458,0.00316327973268926,0,0,normal
320,116,vehicle.mitsubishi.fusorosa,straight_through,4.76206743329397,-4.99948794685753,0.0715560565314597,0,0,1.8067795792831e-07,5.68799123357167e-07,1,1,normal
320,117,vehicle.vespa.zx125,informal_merge,48.3481782862311,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-3.02978467941284,-1.30514216423035,0,0,normal
320,118,vehicle.nissan.micra,turn_right,93.9896334261429,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-1.73677337169647,2.33015584945679,0,0,normal
320,119,vehicle.yamaha.yzf,following_ego_lane,184.323672483497,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.111209101974964,-0.00527689093723893,0,0,normal
321,110,vehicle.tesla.model3,straight_through,100.584321731532,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000144462057505734,0.0100496979430318,0,0,normal
321,111,vehicle.harley-davidson.low_rider,turn_left,20.2341194808563,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,0.000571622862480581,-0.00332259736023843,0,0,normal
321,112,vehicle.diamondback.century,roadside_edge,101.423673823496,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0.16935558617115,-0.0941145047545433,0,0,normal
321,113,vehicle.carlamotors.carlacola,slow_through,64.528767304813,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0187805965542793,-0.063569188117981,0,0,normal
321,114,vehicle.bh.crossbike,roadside_edge,82.7001016413203,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.035602618008852,-2.97075700759888,0,0,normal
321,115,vehicle.audi.tt,turn_right,24.2254559839968,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.00364081980660558,0.00315555674023926,0,0,normal
321,116,vehicle.mitsubishi.fusorosa,straight_through,4.7622072506804,-4.99948794685753,0.0715560565314597,0,0,1.23929893902641e-07,3.90190166399407e-07,1,1,normal
321,117,vehicle.vespa.zx125,informal_merge,48.5591977841415,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-3.0250391960144,-1.31117427349091,0,0,normal
321,118,vehicle.nissan.micra,turn_right,94.3261809869867,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-1.80090606212616,2.26377010345459,0,0,normal
321,119,vehicle.yamaha.yzf,following_ego_lane,184.329355018131,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.0961606353521347,-0.00507473340258002,0,0,normal
322,110,vehicle.tesla.model3,straight_through,100.60703624265,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000123375750263222,0.00851888861507177,0,0,normal
322,111,vehicle.harley-davidson.low_rider,turn_left,20.2398452515718,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,0.092593677341938,-0.105890490114689,0,0,normal
322,112,vehicle.diamondback.century,roadside_edge,101.400243736505,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0.206406727433205,-0.585581600666046,0,0,normal
322,113,vehicle.carlamotors.carlacola,slow_through,64.6050723231588,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0224660579115152,-0.185440912842751,0,0,normal
322,114,vehicle.bh.crossbike,roadside_edge,82.9632640576652,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0344418473541737,-2.97534728050232,0,0,normal
322,115,vehicle.audi.tt,turn_right,24.2226090837275,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.00264298846013844,0.00332524860277772,0,0,normal
322,116,vehicle.mitsubishi.fusorosa,straight_through,4.7623081855893,-4.99948794685753,0.0715560565314597,0,0,2.3385840819401e-08,1.51382209878648e-07,1,1,normal
322,117,vehicle.vespa.zx125,informal_merge,48.7507256762835,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-3.03266143798828,-1.30954825878143,0,0,normal
322,118,vehicle.nissan.micra,turn_right,94.3850873110009,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,0.467332184314728,-0.501056730747223,0,0,normal
322,119,vehicle.yamaha.yzf,following_ego_lane,184.32565102209,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.109208762645721,-0.00551044289022684,0,0,normal
323,110,vehicle.tesla.model3,straight_through,100.598053579499,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000226714793825522,0.0152505058795214,0,0,normal
323,111,vehicle.harley-davidson.low_rider,turn_left,20.2338330104176,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,0.626048922538757,-0.00912856217473745,0,0,normal
323,112,vehicle.diamondback.century,roadside_edge,101.445128344046,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0.110743895173073,-0.159048855304718,0,0,normal
323,113,vehicle.carlamotors.carlacola,slow_through,64.6796653541371,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0165411587804556,-0.0543108694255352,0,0,normal
323,114,vehicle.bh.crossbike,roadside_edge,83.2568207150152,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0348913744091988,-2.97217130661011,0,0,normal
323,115,vehicle.audi.tt,turn_right,24.2196838014058,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.00278071546927094,0.00299425679259002,0,0,normal
323,116,vehicle.mitsubishi.fusorosa,straight_through,4.76242897966991,-4.99948794685753,0.0715560565314597,0,0,-5.76616887570935e-09,-4.86771369878625e-08,1,1,normal
323,117,vehicle.vespa.zx125,informal_merge,48.7939983412784,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,0.0117024322971702,-0.0868303254246712,0,0,normal
323,118,vehicle.nissan.micra,turn_right,94.3936316006884,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,0.686665892601013,-0.589826643466949,0,0,normal
323,119,vehicle.yamaha.yzf,following_ego_lane,184.330669964697,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.095905140042305,-0.00561867514625192,0,0,normal
324,110,vehicle.tesla.model3,straight_through,100.590926599669,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000161449177539907,0.0110368300229311,0,0,normal
324,111,vehicle.harley-davidson.low_rider,turn_left,20.2507899598279,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,0.0713887736201286,-0.0292329490184784,0,0,normal
324,112,vehicle.diamondback.century,roadside_edge,101.42802048092,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.0681824013590813,-0.0500736683607101,0,0,normal
324,113,vehicle.carlamotors.carlacola,slow_through,64.7523345713078,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0166407730430365,-0.192231759428978,0,0,normal
324,114,vehicle.bh.crossbike,roadside_edge,83.519489458681,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0335410237312317,-2.97325706481934,0,0,normal
324,115,vehicle.audi.tt,turn_right,24.2185918609462,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.0026635208632797,0.0030853992793709,0,0,normal
324,116,vehicle.mitsubishi.fusorosa,straight_through,4.76253240013827,-4.99948794685753,0.0715560565314597,0,0,-1.07670525273384e-10,-1.31264400238251e-07,1,1,normal
324,117,vehicle.vespa.zx125,informal_merge,48.8156184872352,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,0.0254287142306566,-0.0473553650081158,0,0,normal
324,118,vehicle.nissan.micra,turn_right,94.4328040562588,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,0.539429068565369,-0.572969555854797,0,0,normal
324,119,vehicle.yamaha.yzf,following_ego_lane,184.325727829129,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.114372126758099,-0.00595727656036615,0,0,normal
325,110,vehicle.tesla.model3,straight_through,100.610211164201,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000178340589627624,0.0119681674987078,0,0,normal
325,111,vehicle.harley-davidson.low_rider,turn_left,20.247417906918,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,0.276039868593216,-0.115806594491005,0,0,normal
325,112,vehicle.diamondback.century,roadside_edge,101.42499782671,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0.0791867300868034,-0.192526057362556,0,0,normal
325,113,vehicle.carlamotors.carlacola,slow_through,64.8271828084848,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0172240566462278,-0.108216501772404,0,0,normal
325,114,vehicle.bh.crossbike,roadside_edge,83.7992843275175,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.033815048635006,-2.97178554534912,0,0,normal
325,115,vehicle.audi.tt,turn_right,24.2165241896879,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.0039078644476831,0.00336525170132518,0,0,normal
325,116,vehicle.mitsubishi.fusorosa,straight_through,4.76263665032926,-4.99948794685753,0.0715560565314597,0,0,-4.54789486070695e-08,-1.87302305221237e-07,1,1,normal
325,117,vehicle.vespa.zx125,informal_merge,48.8361989631598,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,0.0288899410516024,-0.0361037515103817,0,0,normal
325,118,vehicle.nissan.micra,turn_right,94.4400966963799,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,0.730584323406219,-0.54372638463974,0,0,normal
325,119,vehicle.yamaha.yzf,following_ego_lane,184.331206290846,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.100941099226475,-0.00616427371278405,0,0,normal
326,110,vehicle.tesla.model3,straight_through,100.602028446783,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000219043111428618,0.014597256667912,0,0,normal
326,111,vehicle.harley-davidson.low_rider,turn_left,20.2657987885039,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,0.00898239202797413,0.00945811904966831,0,0,normal
326,112,vehicle.diamondback.century,roadside_edge,101.440849602683,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0.117672175168991,-0.194112718105316,0,0,normal
326,113,vehicle.carlamotors.carlacola,slow_through,64.9017124775703,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0157822724431753,-0.0780987441539764,0,0,normal
326,114,vehicle.bh.crossbike,roadside_edge,84.1226699552958,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0337502621114254,-2.97028517723083,0,0,normal
326,115,vehicle.audi.tt,turn_right,24.2135501830876,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.00316360872238874,0.00311138923279941,0,0,normal
326,116,vehicle.mitsubishi.fusorosa,straight_through,4.76275662632913,-4.99948794685753,0.0715560565314597,0,0,-5.45114460237528e-08,-2.35663463854507e-07,1,1,normal
326,117,vehicle.vespa.zx125,informal_merge,48.8584101157493,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,0.0284134168177843,-0.0277166031301022,0,0,normal
326,118,vehicle.nissan.micra,turn_right,94.4704578070961,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,0.596613824367523,-0.529375970363617,0,0,normal
326,119,vehicle.yamaha.yzf,following_ego_lane,184.326633054816,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.108695916831493,-0.00631377613171935,0,0,normal
327,110,vehicle.tesla.model3,straight_through,100.595490534356,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000226923613809049,0.0150620946660638,0,0,normal
